,Model,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score
st,KMeans,0.26779088,1.133165311759506,673.6757940835793
st,HDBSCAN,0.38444954,1.9183122627253741,410.1418092313157
st,Agglomerative,0.2876396,1.0653705277524874,432.1308215358679
ts,KMeans,0.24767695,1.3716857602057273,622.2903341365276
ts,HDBSCAN,0.15419392,2.102884948705063,452.29141868559014
ts,Agglomerative,0.3661309,1.129620723462878,321.2417276336654
mm,KMeans,0.52515066,0.6655820489097913,3423.205602388146
mm,HDBSCAN,0.44903132,1.7114477254555613,2148.364166591281
mm,Agglomerative,0.56641024,0.6500251142141733,4721.6987209322715
lf,KMeans,0.15221597,1.7032401714036949,381.6990236247453
lf,HDBSCAN,0.21991904,3.050864554161631,247.37548502204098
lf,Agglomerative,0.16894315,1.7975054356321987,748.2906704796692
